,ensembl_gene_id,external_gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
4147,ENSMUSG00000023505,Cdca3,23.00145834,5.029141665,1.168430088,4.304187061,1.68E-05,0.006903385
7962,ENSMUSG00000030677,Kif22,21.69286386,4.406973614,1.022291529,4.31087756,1.63E-05,0.006903385
16711,ENSMUSG00000058773,Hist1h1b,22.5508495,4.6835553,1.088193258,4.303973827,1.68E-05,0.006903385
20901,ENSMUSG00000074403,Hist2h3b,23.02396748,4.668776006,1.087079246,4.294789016,1.75E-05,0.007000998
10462,ENSMUSG00000036777,Anln,52.80262034,3.409860199,0.806846768,4.226155862,2.38E-05,0.009267224
1819,ENSMUSG00000017550,Atad5,183.8753336,2.336820603,0.557400063,4.192357983,2.76E-05,0.00973738
10774,ENSMUSG00000037572,Wdhd1,125.4321644,2.636059492,0.627441092,4.201286027,2.65E-05,0.00973738
17674,ENSMUSG00000063021,Hist1h2ak,45.13345769,3.153704967,0.751687841,4.195498177,2.72E-05,0.00973738
17971,ENSMUSG00000064288,Hist1h4k,14.45439473,4.783617993,1.136576768,4.208794451,2.57E-05,0.00973738
4,ENSMUSG00000000028,Cdc45,31.31597961,3.108015975,0.74471934,4.173405752,3.00E-05,0.009959784
3143,ENSMUSG00000021508,Cxcl14,8.902330078,-3.68698157,0.883841381,-4.171542145,3.03E-05,0.009959784
4689,ENSMUSG00000024795,Kif20b,98.17274142,2.424547896,0.580848135,4.174151125,2.99E-05,0.009959784
10500,ENSMUSG00000036875,Dna2,215.2334549,2.956165792,0.711485901,4.154918301,3.25E-05,0.010256451
23023,ENSMUSG00000079553,Kifc1,45.52010959,4.087670563,0.983291159,4.157131409,3.22E-05,0.010256451
4275,ENSMUSG00000024056,Ndc80,40.68456187,3.818244623,0.921753169,4.142372111,3.44E-05,0.01060843
219,ENSMUSG00000001228,Uhrf1,204.367241,4.515441526,1.091584687,4.136592955,3.53E-05,0.010657028
4612,ENSMUSG00000024660,Incenp,347.3062201,1.826716777,0.443234364,4.121333822,3.77E-05,0.010971984
17426,ENSMUSG00000061991,Hist1h2af,28.16727433,4.500226204,1.092103705,4.120694935,3.78E-05,0.010971984
904,ENSMUSG00000005813,Metap1,280.9391565,-0.680708992,0.165906885,-4.102958064,4.08E-05,0.011620478
1404,ENSMUSG00000012443,Kif11,64.5497829,4.419102944,1.080571696,4.089597164,4.32E-05,0.012078246
15820,ENSMUSG00000054717,Hmgb2,210.766203,1.813078055,0.448303173,4.044312345,5.25E-05,0.014396169
2228,ENSMUSG00000019942,Cdk1,29.76380119,4.15224971,1.029049757,4.035032981,5.46E-05,0.014704815
4185,ENSMUSG00000023908,Pkmyt1,23.55396574,3.607081178,0.895769766,4.02679496,5.65E-05,0.014876527
5416,ENSMUSG00000026196,Bard1,44.66828619,3.056218374,0.760289041,4.019811161,5.82E-05,0.014876527
12197,ENSMUSG00000041238,Rbbp8,118.8014655,0.972518147,0.241753227,4.022772137,5.75E-05,0.014876527
9229,ENSMUSG00000033031,C330027C09Rik,37.2764824,3.166455781,0.789812036,4.009125763,6.09E-05,0.015061787
9859,ENSMUSG00000034902,Pip5k1c,1118.150581,0.599886319,0.149638829,4.008894768,6.10E-05,0.015061787
1895,ENSMUSG00000018189,Uchl5,130.9296873,0.818679108,0.204458892,4.004125724,6.22E-05,0.015116899
19527,ENSMUSG00000068855,Hist2h2ac,144.5425745,1.643904543,0.412225381,3.987878036,6.67E-05,0.015929093
3611,ENSMUSG00000022322,Shcbp1,11.25576553,5.722175882,1.436892164,3.982327989,6.82E-05,0.016046975
6047,ENSMUSG00000027326,Casc5,70.69174422,5.561704377,1.402244829,3.966286245,7.30E-05,0.016897493
12868,ENSMUSG00000043391,2510009E07Rik,385.3858361,0.402763993,0.101651237,3.962214386,7.43E-05,0.016923927
3446,ENSMUSG00000022033,Pbk,17.03765757,8.288783525,2.097603663,3.951548937,7.76E-05,0.017168097
11447,ENSMUSG00000039176,Polg,827.8378031,1.260949724,0.318871861,3.954408898,7.67E-05,0.017168097
22665,ENSMUSG00000078773,Rad54b,63.28042729,5.910156031,1.4972278,3.947399342,7.90E-05,0.01721141
1061,ENSMUSG00000006763,Saal1,140.3508664,1.298635721,0.330242163,3.932374077,8.41E-05,0.018058275
1776,ENSMUSG00000017146,Brca1,144.8330342,4.517371329,1.153568444,3.91599766,9.00E-05,0.018523903
6142,ENSMUSG00000027469,Tpx2,73.43328492,3.939990944,1.005741917,3.917497002,8.95E-05,0.018523903
7653,ENSMUSG00000030104,Edem1,2085.494033,0.304058979,0.077621793,3.91718571,8.96E-05,0.018523903
6837,ENSMUSG00000028676,Srsf10,473.6966332,0.611178427,0.156647674,3.901611882,9.56E-05,0.019128934
7882,ENSMUSG00000030528,Blm,61.50902864,1.664311299,0.426388065,3.903278344,9.49E-05,0.019128934
9978,ENSMUSG00000035245,Eogt,152.9883293,1.18334614,0.30458034,3.885169148,0.000102259,0.019932367
13355,ENSMUSG00000045103,Dmd,54.77852404,-2.836389315,0.729995682,-3.885487799,0.000102125,0.019932367
5092,ENSMUSG00000025507,Pidd1,102.2079227,1.862220959,0.480475962,3.875783821,0.000106282,0.020185407
6971,ENSMUSG00000028896,Rcc1,99.20659585,1.916216549,0.494333341,3.87636518,0.000106029,0.020185407
821,ENSMUSG00000005233,Spc25,23.23669812,3.582441248,0.925417123,3.871163782,0.000108317,0.020311491
12043,ENSMUSG00000040725,Hnrnpul1,2075.809015,0.280954635,0.072716251,3.863711761,0.000111677,0.020504876
17234,ENSMUSG00000061080,Lsamp,41.18933773,-2.245781045,0.581393976,-3.862752518,0.000112117,0.020504876
15354,ENSMUSG00000052565,Hist1h1d,117.9038778,2.125110242,0.555402781,3.826250635,0.00013011,0.02350545
15030,ENSMUSG00000051220,Ercc6l,29.80041671,3.556860048,0.931166523,3.819789436,0.000133566,0.023839054
44754,ENSMUSG00000106334,WI1-49P9.2,17.48237658,3.921450893,1.032063765,3.799620747,0.000144918,0.02555727
4654,ENSMUSG00000024742,Fen1,146.6114063,1.698230507,0.44792524,3.791325775,0.000149845,0.025739391
10738,ENSMUSG00000037465,Klf10,138.4434623,1.101776545,0.29057298,3.791737771,0.000149597,0.025739391
15061,ENSMUSG00000051323,Pcdh19,7.143239267,-6.380324009,1.683839905,-3.789151208,0.000151163,0.025739391
3608,ENSMUSG00000022314,Rad21,876.54237,0.52170909,0.138228195,3.774259571,0.000160484,0.027015955
16066,ENSMUSG00000055866,Per2,84.54579535,-2.510457468,0.666541374,-3.766394057,0.000165622,0.027567741
369,ENSMUSG00000002055,Spag5,37.36581593,4.651474283,1.240870071,3.748558686,0.000177854,0.028638316
5329,ENSMUSG00000026039,Sgol2a,18.87945264,3.952530271,1.053485417,3.75186045,0.000175527,0.028638316
14087,ENSMUSG00000047719,Ubiad1,48.47742317,1.178688061,0.314437339,3.748562639,0.000177851,0.028638316
35624,ENSMUSG00000096740,Lbhd1,27.72307674,3.126851577,0.83683167,3.7365359,0.000186573,0.029719245
7601,ENSMUSG00000030029,Lrig1,25.43410497,-2.230303919,0.598547354,-3.726194602,0.000194392,0.030635406
5981,ENSMUSG00000027210,Meis2,26.04533841,-4.130467374,1.110946822,-3.717970377,0.00020083,0.03067106
13650,ENSMUSG00000046179,E2f8,60.03109189,4.771542489,1.282892914,3.71936148,0.000199727,0.03067106
14254,ENSMUSG00000048327,Ckap2l,66.89496537,3.073553516,0.825816411,3.721836325,0.000197779,0.03067106
3289,ENSMUSG00000021763,BC067074,48.22767689,-2.687330682,0.724156293,-3.710981603,0.000206457,0.030893491
11390,ENSMUSG00000039055,Eme1,13.98922437,5.533011175,1.490801754,3.711433234,0.000206089,0.030893491
2809,ENSMUSG00000020897,Aurkb,23.85473504,3.958319469,1.069759279,3.700196434,0.000215433,0.031914192
4262,ENSMUSG00000024039,Cbs,76.10320667,-5.008799693,1.357723952,-3.689114923,0.000225036,0.032683105
10742,ENSMUSG00000037474,Dtl,69.21497183,4.220915665,1.144098209,3.689294881,0.000224876,0.032683105
7303,ENSMUSG00000029430,Ran,558.7952287,0.765830703,0.208068506,3.680666125,0.000232625,0.033457411
8832,ENSMUSG00000032218,Ccnb2,11.25836244,3.768100097,1.025819757,3.673257479,0.000239478,0.034111793
1817,ENSMUSG00000017499,Cdc6,37.56492224,4.862856469,1.326320377,3.666426721,0.000245963,0.034701916
38203,ENSMUSG00000099583,Hist1h3d,29.03550957,3.018274867,0.823947704,3.663187422,0.000249096,0.03481236
4025,ENSMUSG00000023015,Racgap1,55.75161406,3.007046244,0.821867756,3.658795738,0.000253403,0.035083319
12446,ENSMUSG00000042029,Ncapg2,114.1223745,2.827179637,0.774791424,3.648955771,0.000263308,0.036117139
5661,ENSMUSG00000026622,Nek2,17.57911251,4.35945381,1.197875964,3.639319882,0.000273359,0.03681401
9773,ENSMUSG00000034675,Dbn1,30.82727189,-2.505248914,0.688368243,-3.639402223,0.000273272,0.03681401
131,ENSMUSG00000000751,Rpa1,252.019833,1.247779455,0.343485289,3.632701302,0.00028047,0.037431324
9446,ENSMUSG00000033762,Recql4,32.2572657,2.713624151,0.748045028,3.6276214,0.000286044,0.037834465
2435,ENSMUSG00000020290,Xpo1,786.0189798,0.583542459,0.161436381,3.614689916,0.000300707,0.039076124
14572,ENSMUSG00000049539,Hist1h1a,24.57401595,3.135267809,0.867069498,3.615935995,0.000299264,0.039076124
14020,ENSMUSG00000047502,Mroh7,8.00622092,-4.840310062,1.340031991,-3.612085454,0.000303744,0.039127565
16617,ENSMUSG00000058385,Hist1h2bg,64.25928704,1.747070081,0.48698355,3.58753408,0.00033382,0.042631131
5077,ENSMUSG00000025487,Psmd13,253.6229734,1.445626358,0.403712469,3.580831581,0.000342502,0.043366071
851,ENSMUSG00000005470,Asf1b,21.19423177,3.710159094,1.040590449,3.565436431,0.000363251,0.044916217
6964,ENSMUSG00000028884,Rpa2,76.8401845,1.513396524,0.424773294,3.562833503,0.000366873,0.044916217
10279,ENSMUSG00000036181,Hist1h1c,371.5591464,1.171908316,0.328789424,3.564312689,0.000364811,0.044916217
